Nº	Padre do Deserto	Sentença
505	Um Ancião	Vá, implore a Deus que lhe envie as lutas de modo que você recupere a aflição e humildade que você possuía, pois é pela luta que as almas progridem.
506	Abade Paésio	Desde que vivo solitário, o sol nunca me viu comer.
507	São Basílio	Deixaste de ser Senador, e não te fizeste monge.
508	Um monge do deserto	"Antes dele, eu morri para o mundo; um morto não recebe herança de um vivo."
509	Pai Pimen	Se alguém ouvir uma palavra ofensiva e ao invés de respondê-la com igual ofensa, controlar seus sentimentos e permanecer em silêncio, ou se alguém for trapaceado e suportar isso sem vingar-se, ele estará dando sua vida ao próximo.
510	Evágrio Pôntico	O homem não pode expulsar as lembranças apaixonadas se não presta atenção à concupiscência e à cólera.
511	Evágrio Pôntico	A soberba é um tumor da alma cheio de pus. Se maduro, explodirá, emanando terrível fedor.
512	Evágrio Pôntico	"A abundância de frutos dobra os ramos da árvore; a abundância de virtudes humilha a mente do homem."
513	Evágrio Pôntico	O monge soberbo é como uma árvore sem raízes e não suporta o ímpeto do vento.
514	Evágrio Pôntico	A vanglória é uma paixão irracional que facilmente se enraíza em todas as obras virtuosas.
515	Evágrio Pôntico	"A hera adere à árvore e, quando chega ao ponto mais alto, seca-lhe a raiz; assim, a vanglória se origina nas virtudes e não se afasta enquanto não lhes tiver consumido as forças."
516	Evágrio Pôntico	O aborrecimento é a debilidade da alma que irrompe quando não se vive segundo a natureza, nem se enfrenta nobremente a tentação.
517	Evágrio Pôntico	Uma árvore transplantada não frutifica e o monge vagabundo não produz fruto de virtude.
518	Evágrio Pôntico	A tristeza é a boca do leão e facilmente devora aquele que se entristece.
519	Evágrio Pôntico	O monge triste não conhece a alegria espiritual, como aquele acometido por forte febre não reconhece o sabor do mel.
520	Evágrio Pôntico	A ira é uma paixão furiosa que, com frequência, faz perder o juízo àqueles que têm o conhecimento.
521	Evágrio Pôntico	O monge magnânimo é uma fonte tranquila, uma bebida agradável oferecida a todos.
522	Evágrio Pôntico	A avareza é a raiz de todos os males e nutre, como arbustos malignos, as demais paixões.
523	Evágrio Pôntico	O monge que não possui nada é um viajante ágil que encontra refúgio em todos os lados.
524	Evágrio Pôntico	O desejo de riquezas do ávaro jamais se sacia: ele o duplica e deseja quadruplicá-los, até que a morte venha pôr fim a tal pretensão.
525	Evágrio Pôntico	A moderação gera a regra, enquanto que a gula é a mãe do desenfreio.
526	Evágrio Pôntico	O olhar para uma mulher é semelhante a um dardo venenoso: fere a alma, nos injeta veneno e, quanto mais perdura, tanto mais espalha a infecção.
527	Evágrio Pôntico	Permanece invulnerável às flechas inimigas aquele que ama a paz interior e a tranquilidade de recolhimento.
528	Evágrio Pôntico	Uma coluna se apoia sobre uma base, e a paixão da luxúria tem sua base na saciez.
529	Evágrio Pôntico	Apenas quando a recordação da mulher surgir em ti separada da paixão, então poderás considerar-te próximo dos confins da sabedoria.
530	Evágrio Pôntico	A origem do fruto é a flor, e a origem da disciplina espiritual é a moderação.
531	Evágrio Pôntico	Quem domina o próprio estômago, diminui as paixões.
532	Evágrio Pôntico	"Um ventre indigente prepara para uma oração vigilante; ao contrário, um ventre bem cheio convida para um longo sono."
533	Evágrio Pôntico	A oração daquele que jejua é como um pintinho voando mais alto que uma águia.
534	Evágrio Pôntico	O desejo de comida é como o fogo que sempre envolve e sempre se inflama.
535	Abade Evagro	Tomar regularmente alimento não-cozido junto com a castidade conduz o monge num átimo ao porto da impassibilidade — total domínio das paixões.
536	Abade Isaías	O que é preferível dentre tudo? Fazer a vontade de Deus e seguir o caminho da salvação.
537	Abade Zózimo	Haverá algum solitário no mundo que possa ensinar-me algo de novo, ou mostrar-me algo que eu ainda não tenha realizado por minhas próprias ações nesta santa maneira de viver?
538	Abba Agatão	Um homem que está irado, mesmo que ressuscitasse os mortos, não é aceitável a Deus.
539	Abba Agatão	Sem a observância vigilante, o homem não progride em uma única virtude.
540	Abba Agatão	Nunca fui dormir guardando uma queixa contra alguém, nem permiti que ninguém fosse dormir com uma queixa contra mim.
541	Abba Agatão	"Se eu pudesse encontrar um leproso para dar-lhe o meu corpo e tomar o dele, eu o faria com alegria; pois isso é a caridade perfeita."
542	Amma Sincletica	É perigoso para qualquer um tentar ensinar se não tiver sido primeiro treinado na vida prática.
543	Amma Sincletica	"Aqueles que se aproximam de Deus têm, a princípio, uma luta e um trabalho árduo; mas depois, uma alegria indizível. É como acender um fogo: primeiro há fumaça e as lágrimas correm, mas depois se obtém o resultado desejado."
544	Amma Sincletica	Existem muitos que vivem nas montanhas e se comportam como se estivessem na cidade, e eles estão perdendo seu tempo. É possível ser solitário na mente enquanto se vive em uma multidão, e é possível para aquele que vive na solidão viver na multidão de seus próprios pensamentos.
545	Amma Sincletica	Assim como um tesouro, quando exposto, é rapidamente gasto, assim também qualquer virtude que se torna conhecida e divulgada é dissipada.
546	Amma Sincletica	Muitas vezes o diabo traz um jejum excessivo para enfraquecer o corpo e tornar a alma inútil para a oração.
547	Amma Sincletica	Assim como os marinheiros navegam pelas estrelas, os monges devem navegar pela vida dos anciãos.
548	Amma Sara	"Se eu rogasse a Deus que todos os homens fossem edificados por mim, eu me encontraria fazendo penitência à porta de cada um; mas eu rogarei que meu coração seja puro com todos."
549	Amma Sara	Eu coloco meu pé na escada para subir, e coloco a morte diante de meus olhos antes de subir.
550	Amma Sara	"Não temo a Deus, mas O amo; pois o amor lança fora o medo."
551	Amma Teodora	Um monge deve estar sempre pronto, como se a morte estivesse à porta, para não ser pego desprevenido.
552	Amma Teodora	Assim como o melaço atrai moscas, os prazeres deste mundo atraem os demônios.
553	Abba Benjamin	O monge deve ser como os Querubins: todo olho.
554	Abba Benjamin	Se você guardar o silêncio, encontrará descanso em qualquer lugar que morar.
555	Abba Benjamin	Não reclame da comida, pois a murmuração afasta a graça da mesa.
556	Abba Gelásio	"Não procure saber o que o seu vizinho está fazendo na sua cela; procure saber o que está acontecendo dentro da sua."
557	Abba Hiperíquio	Aquele que não domina sua língua em tempos de raiva, nunca dominará suas paixões.
558	Abba Hiperíquio	É melhor comer carne e beber vinho do que devorar a carne de seus irmãos através da calúnia.
559	Abba Hiperíquio	"A casa do tesouro do monge é a pobreza voluntária. Portanto, meu irmão, ajunta o teu tesouro no céu; pois lá habitam as eras de quietude sem fim."
560	Abba Hiperíquio	"Foi através da murnuração que a serpente expulsou Eva do Paraíso; assim, aquele que fala contra o seu próximo será como a serpente, pois corrompe a alma de quem o ouve e não salva a sua própria alma."
561	Abba Nístero	Se você quer que Deus ouça sua oração rapidamente, antes de rezar por qualquer outra coisa, deve rezar por seus inimigos.
562	Abba Nístero	A obediência é preferível ao sacrifício.
563	Abba Pambo	Se você for para o deserto, não confie em suas boas obras, mas entregue-se inteiramente à misericórdia de Deus.
564	Abba Pambo	O monge deve usar o tipo de roupa que, se ele a jogasse para fora da cela, ninguém a pegaria.
565	Abba Pambo	Se ele não for edificado pelo meu silêncio, não será edificado pela minha fala.
566	Abba Pambo	"A obediência é maior do que a virtude de todos vós; pois cada um de vós obteve qualquer virtude que possui por sua própria vontade, enquanto o obediente suspende sua própria vontade e cumpre a vontade de outra pessoa."
567	Abba Pambo	"Três anos eu levei para aprender a não falar sem necessidade; e você quer aprender a teologia em um dia?"
568	Abba Pafnúcio	Tudo o que é feito com excesso, mesmo o jejum, é prejudicial ao monge.
569	Abba Pafnúcio	Aquele que julga seu irmão assume o papel de Deus, o único que tem o direito de julgar.
570	Abba Pafnúcio	Se você vir um irmão pecando, cubra-o com seu manto em vez de espalhar a notícia.
571	Abba Sisoes	A humildade é a única coisa que o diabo não pode imitar.
572	Abba Sisoes	"Se você cair, levante-se novamente; se cair de novo, levante-se de novo."
573	Abba Sisoes	Dê a Deus o que é de Deus e ao mundo o que é do mundo, mas guarde seu coração apenas para Ele.
574	Abba Sisoes	Até o fim da minha vida, não deixarei de pedir a Deus que perdoe meus pecados, pois nunca sei se fiz algo que O agradou.
575	Abba Sisoes	"Tende coragem; por trinta anos não tenho mais implorado a Deus sobre o pecado, mas digo isto quando rezo: Senhor Jesus Cristo, protege-me da minha língua, pois mesmo até agora caío em pecado por causa dela."
576	Abba Sisoes	O arrependimento é o trabalho de cada dia, até o último suspiro.
577	Abba Sisoes o Tebano	Não descansarei até conseguir minha vingança contra ele, disse o irmão. O ancião então orou: Ó Deus, não precisamos mais que cuides de nós, pois estamos colhendo nossa própria vingança. O irmão caiu aos pés do ancião e disse: Não terei mais problemas com meu irmão. Perdoa-me!
578	Abba Teodoro	Muitos buscam o repouso antes que Deus o dê a eles.
579	Abba Teodoro	Se você não for como um cadáver na sepultura, não poderá ser um monge.
580	Abba Teodoro	A maior virtude é a discrição, pois ela governa todas as outras.
581	Abba Teodoro de Pherme	Se você não está em paz sozinho nem com os outros, por que se tornou monge? Não foi para sofrer provações?
582	Abba Teodoro	Ainda não encontraste o teu navio, nem puseste nele a tua bagagem, nem começaste a navegar, e já estás na cidade para onde planeaste ir. Quando tiveres primeiro trabalhado naquilo de que falas, então fala a partir da própria coisa.
583	Abba Zenão	Se alguém quer que Deus ouça sua oração rapidamente, antes de rezar por qualquer outra coisa, deve rezar por seus inimigos.
584	Abba Zenão	Não viva em um lugar onde você seja famoso ou onde tenha grandes posses.
585	Abba Zenão	Aquele que carrega uma ofensa no coração é como alguém que guarda uma cobra no peito.
586	Abba Elias	Se o espírito não cantar com o corpo, o trabalho é em vão.
587	Abba Elias	Eu temo três coisas: o momento em que minha alma deixará o corpo, o momento em que comparecerá diante de Deus e o momento em que a sentença será dada.
588	Abba Elias	É necessário ter grande empenho, e quem não o faz não pode chegar ao seu Deus. Pois Ele mesmo foi crucificado por nossa causa.
589	Abba Daniel	Quanto mais o corpo engorda, mais a alma definha.
590	Abba Daniel	Aquele que quer se aproximar de Deus deve primeiro se afastar dos homens em seu coração.
591	Abba Daniel	O amor ao dinheiro é o veneno da vida monástica.
592	Abba Daniel	O corpo prospera na medida em que a alma é enfraquecida, e a alma prospera na medida em que o corpo é enfraquecido.
593	Abba Daniel	Quem nos separará daqui em diante de Deus? Deus está na cela e, por outro lado, Ele está fora também.
594	Abba Or	Aquele que é honrado pelos homens não pode escapar do orgulho.
595	Abba Or	Em todos os seus trabalhos, a humildade deve vir primeiro.
596	Abba Or	Nunca diga em seu coração que você é melhor que seu irmão.
597	Abba Or	Nunca traga uma máxima estranha para esta cela.
598	Abba Lot	Você não pode ser monge se não se tornar como um fogo ardente.
599	Abba Lot	Vá, sente-se em sua cela e ela lhe ensinará tudo.
600	Abba Nabrão	O trabalho manual é necessário para afastar a preguiça, que é a mãe de todos os vícios.
601	Abba Isidoro o Presbítero	A razão pela qual os demônios têm tanto medo de mim é porque tenho praticado o ascetismo desde o dia em que me tornei monge, e não permiti que a raiva chegasse aos meus lábios.
602	Abba Isidoro o Presbítero	Por quarenta anos fui tentado a pecar em pensamento, mas nunca consenti nem com a cobia nem com a raiva.
603	Abba Isidoro o Presbítero	Mesmo que eu fosse queimado e minhas cinzas jogadas ao vento, não me permitiria nenhum relaxamento, porque o Filho de Deus veio aqui por nossa causa.
604	Abba Isidoro o Presbítero	Quando é que me comparei com Abba Antônio, com Abba Pambo, ou com os outros Padres que agradaram a Deus?
605	Abba Isidoro o Presbítero	Mesmo que eu seja enviado ao inferno, eu os encontrarei abaixo de mim — dizia sobre os demônios que o ameaçavam.
606	Abba Isidoro o Presbítero	"Um dia fui ao mercado vender alguns pequenos bens; quando vi a raiva se aproximando de mim, deixei as coisas e fugi."
607	Abba Isidoro o Presbítero	"Verdadeiramente, irmãos, não vi o rosto de ninguém na cidade, exceto o do arcebispo; o pensamento de olhar para qualquer pessoa não levou a melhor sobre mim."
608	Abba Serapião	"Quando os soldados do imperador estão em posição de sentido, eles não podem olhar para a direita ou para a esquerda; é o mesmo para o homem que está diante de Deus."
609	Abba Serapião	Se você quer ser humilde, aprenda a suportar generosamente o que os outros injustamente infligem a você e não abrigue palavras vazias em seu coração.
610	Abba Serapião	"Abba Serapião converteu uma cortesã passando a noite em oração por ela; ela ficou tão tocada pela compunção que se tornou monja e viveu o resto de sua vida em rigorosa penitência."
611	Abba Benjamin	Pela graça de Deus, desde que vesti este hábito, nunca disse uma palavra da qual tivesse que me arrepender depois.
612	Abba Efraim	Quando era criança, teve um sonho: uma videira brotou de sua língua, cresceu e encheu todo o espaço sob o céu, era muito frutífera. Todas as aves do céu comiam do fruto da videira e, enquanto comiam, o fruto se proliferava.
613	Abba Epifânio	A aquisição de livros cristãos é necessária para aqueles que podem usá-los. Pois a mera visão desses livros nos torna menos inclinados ao pecado e nos incita a crer mais firmemente na retidão.
614	Abba Epifânio	A leitura das Escrituras é uma grande salvaguarda contra o pecado.
615	Abade Matoés	Quanto mais um homem se aproxima de Deus, maior pecador ele se vê. Pois o profeta Isaías viu a Deus e disse que era impuro e estava perdido.
616	Abba Gerôncio de Petra	Muitos são aqueles que, tentados pelos deleites da carne, entregam-se à imoralidade mental sem qualquer contato físico. Enquanto preservam sua virgindade física, entregam-se à imoralidade espiritual. É bom fazer o que está escrito: Cada um guarde o seu próprio coração com toda a vigilância.
617	Abba Paulo (via João discípulo)	"Abba Paulo disse a João: Vá e tire o esterco da cova do leão. João obedeceu e foi; a leõa saiu para saltar sobre ele, mas ele, obedecendo à palavra do ancião, investiu contra ela para pegá-la. A leõa fugiu e ele a perseguiu dizendo: Espere, meu abade me disse para amarrá-la. E a amarrou."
618	Abade Nilo	"Invulnerável às flechas do inimigo é aquele que ama o silêncio; mas aquele que se mistura com a multidão frequentemente recebe feridas."
619	Abba Paulo	Se alguém obteve a pureza, tudo lhe está em submissão, como estava para Adão, quando ele estava no paraíso antes de transgredir o mandamento.
620	Um Ancião (Anônimo)	"Se alguém guarda a memória de quem o afligiu, deve lembrar-se dessa pessoa como um médico enviado por Cristo e deve considerá-la um benfeitor. O próprio fato de você ser ferido por tais coisas indica que sua alma está doente; você deveria ficar feliz por ter tal irmão, pois é através dele que se torna consciente de sua própria doença."
621	Um Ancião (Anônimo)	Um ancião morava no deserto e sua cela ficava longe da água, cerca de sete milhas. Certa vez desanimou e quis se mudar para perto da água. Então viu alguém seguindo-o e contando seus passos. Perguntou: Quem é você? O outro respondeu: Sou o anjo do Senhor, e fui enviado para contar teus passos e te dar a tua recompensa. O coração do ancião se fortaleceu e colocou sua cela ainda mais longe da água.
622	Um Ancião (Anônimo)	"Senta-te em tua cela e faz o que puderes, e não te perturbes; pois o pouco que fazes agora é como quando Antônio fez grandes e muitas coisas no deserto. Quem se senta em sua cela por amor de Deus e guarda sua consciência será encontrado no lugar de Antônio."
623	Um Ancião (Anônimo)	Trabalhe no labor manual o máximo que puder, a fim de prover para aquele que tem necessidade, pois está escrito: Os pecados são purificados pela esmola e por atos de fé.
624	Um Ancião (Anônimo)	Havia uma vez ladrões que entraram na cela de um ancião e disseram: Tudo o que tens em tua cela, viemos levar. E ele disse: Tomai tudo o que vedes, meus filhos. Eles pegaram tudo, esquecendo apenas uma pequena bolsa escondida. O ancião correu atrás deles gritando: Meus filhos, esquecestes isto: tomai-o. E eles, maravilhados com a paciência do ancião, trouxeram tudo de volta e fizeram penitência.
625	Um Ancião (Anônimo)	"Não desanime se a doença física sobrevier a você. Quem é você para se ofender se o seu Senhor e mestre deseja que você seja afligido no corpo? Resigne-se e rogue a Deus que lhe conceda o que for apropriado, segundo a Sua Vontade; permaneça pacientemente em sua cela, alimentando-se de caridade."
626	Um Ancião (Anônimo)	Diziam sobre Lázaro, o pobre: A única coisa que encontramos nele é que ele nunca se queixou contra o Senhor por não lhe mostrar misericórdia, mas suportou sua aflição graciosamente. É por isso que Deus o aceitou.
627	Um Ancião (Anônimo)	"Três monges foram à beira do mar: dois tomaram asas de fogo e voaram para a outra margem; o terceiro permaneceu, chorando, e depois foi-lhe dado asas fracas, chegando ao outro lado com grande dificuldade. Assim é com esta geração: se receber asas, elas ainda não serão de fogo, mas fracas."
628	Um Ancião (Anônimo)	"Esta é a vida do monge: trabalho, obediência, meditação, não julgar, não difamar, não gritar. Não ter nada a ver com o que é injusto, não ver o mal com os próprios olhos, não ser um intrometido, não ouvir os assuntos alheios; dar em vez de tirar com as mãos."
629	Um Ancião (Anônimo)	"Rogue a Deus para lhe dar tristeza no coração e humildade. Esteja sempre atento aos seus pecados e não julgue os outros; pelo contrário, coloque-se abaixo de todos os outros. Não mantenha amizade com uma mulher, com uma criança ou com heréticos."
630	Um Ancião (Anônimo)	"Assim é com quem permanece entre os homens: por causa da turbulência, ele não vê seus pecados; mas quando está em silêncio, sobretudo na solidão, então reconhece suas próprias falhas. Como a água turva que ao assentar reflete os rostos como num espelho."
631	Um Ancião (Anônimo)	Nunca desejei um trabalho que me beneficiasse às custas de meu irmão, na esperança de que o trabalho de meu irmão fosse um trabalho que desse frutos.
632	Um Ancião (Anônimo)	"Seja como alguém que passa por uma casa de pasto e sente o cheiro da sopa ou de alguma carne assada. Aquele que desejava comer, entrava e comia; aquele que não queria, simplesmente sentia o cheiro ao passar e depois ia embora. Assim é com as tentações: sacuda de si o fedor e levante-se e ore, dizendo: Filho de Deus, ajuda-me."
633	Um Irmão (Anônimo)	Ao diabo disfarçado de anjo que disse ser Gabriel: Certifique-se de que não foi enviado a outra pessoa, pois não sou digno de ver um anjo.
634	Um Irmão (Anônimo)	"Um irmão estava colocando alças nos cestos quando ouviu o vizinho que não tinha alças para os seus cestinhos. Foi, soltou as alças dos seus próprios cestos e as trouxe ao vizinho, dizendo: Tenho estas sobrando; pegue-as. Ele melhorou o trabalho do irmão em detrimento do seu próprio."
635	Um Ancião (Anônimo)	Uma pergunta de um irmão: 'Como posso encontrar Deus?'. Resposta do ancião: Através do jejum, da vigília e, acima de tudo, da caridade.
636	Um Ancião (Anônimo)	A cela do monge é a fornalha da Babilônia onde os três jovens encontraram o Filho de Deus.
637	Um Ancião (Anônimo)	Se você não tem paz dentro de si, não a encontrará no deserto.
638	Um Ancião (Anônimo)	O silêncio é o porteiro da oração.
639	Um Ancião (Anônimo)	Não julgue ninguém, pois no momento em que você julga, você cai no mesmo pecado.
640	Um Ancião (Anônimo)	"Um ancião foi questionado: O que é orar sem cessar? E ele respondeu: É a petição enviada a Deus do próprio fundamento do coração solicitando o que é apropriado. Pois não é apenas quando nos levantamos para a oração que estamos orando; a verdadeira oração é quando você pode orar o tempo todo dentro de si mesmo."
641	Abba Sisoes	Ao cair da morte: Vi os anjos virem buscar-me. Pedi para ser deixado um pouco mais para me arrepender. Os Padres disseram: Não tens necessidade de arrependimento. Mas ele disse: Verdadeiramente não sei se sequer comecei o início do arrependimento.
642	Abba Antônio	Um navio naufragou no mar e perdeu toda a carga que carregava, e com muito esforço o navio vazio foi finalmente trazido à terra. É vosso desejo afundar em terra o navio que chegou seguro do mar? — ao receber um irmão expulso de um mosteiro.
643	Abba Antônio	Vi todas as armadilhas do inimigo estendidas sobre a terra, e gemendo perguntei: Quem escapará a elas? Ouvi então uma voz que me dizia: A humildade.
644	Abba Antônio	Sem tentações, ninguém pode ser salvo. Quem retirar as tentações, não achará ninguém salvo.
645	Abba Antônio	Como os peixes que se demoram na terra seca morrem, assim também os monges que permanecem fora da cela, ou vivem com seculares, relaxam a tensão da vida recolhida.
646	Abba João o Anão	"Se um rei quisesse tomar posse da cidade de um inimigo, ele começaria cortando a água e a comida; e assim seus inimigos, morrendo de fome, se submeteriam. É o mesmo com as paixões da carne: se um homem pratica o jejum e a fome, os inimigos de sua alma tornam-se fracos."
647	Abba João o Anão	Nós colocamos o fardo leve de lado, que é a auto-acusação, e nos carregamos com um pesado, que é a auto-justificação.
648	Abba João o Anão	A humildade e o temor de Deus estão acima de todas as virtudes.
649	Abba João o Anão	Vá, rogue a Deus para despertar a guerra, para que você recupere a aflição e a humildade que costumava ter, pois é pela guerra que a alma progride.
650	Abba Moisés	"Veja, Abba Moisés, agora você está inteiramente branco ao ser ordenado. Ele respondeu: É verdade por fora; mas o que dizer dAquele que vê o interior?"
651	Abba Moisés	O homem que foge e vive na solidão é como um cacho de uvas amadurecido pelo sol, mas aquele que permanece entre os homens é como uma uva verde.
652	Abba Moisés	Se guardarmos os mandamentos de nossos Padres, eu responderei por isso em nome de Deus que os bárbaros não virão aqui. Mas se não guardarmos os mandamentos de Deus, este lugar será devastado.
653	Abba Moisés	Quanto a mim, tenho esperado por este dia por muitos anos, para que a palavra do Senhor Cristo se cumpra: Todos os que lançarem mão da espada, à espada morrerão.
654	Abba Moisés	Se um homem não pensa em seu coração que já está há três dias morto e no túmulo, ele não pode alcançar este estado de morte para o próximo.
655	Abba Moisés	Meus pecados correm atrás de mim e eu não os vejo, e hoje venho julgar os erros de outro — disse ao carregar um jarro furado com areia para mostrar como suas faltas sempre escapam pelas costas.
656	Abba Moisés	Tratado com desprezo por ser negro em um conselho em Cétis, Moisés manteve silêncio absoluto, dizendo depois que, embora estivesse triste, preferiu calar-se.
657	Abba Arsênio	"Arsênio recusou uma herança dizendo: Eu morri antes dele; ele morreu há pouco. Um morto não herda de um vivo."
658	Abba Arsênio	"Arsênio, porque te retiraste do mundo? De ter falado, arrependi-me muitas vezes; de me ter calado, nunca."
659	Abba Arsênio	No fim do sábado, estendia as mãos ao céu em oração até que de novo brilhasse o sol sobre a sua face. Assim preparava a glória do domingo.
660	Abba Arsênio	"Dizia o Abade Poëmen que Arsênio chorou a si mesmo neste mundo para não chorar no outro; pois é impossível não chorar, voluntária ou obrigatoriamente."
661	Abba Macário o Grande	"Ao ver um menino que dizia: certo homem rico gosta de mim e eu o odeio; um pobre me odeia e eu o amo, Macário admirou-se e disse aos irmãos: Em verdade, Nosso Senhor é rico e nos ama, enquanto nós não o queremos ouvir. Ao contrário, nosso inimigo, o demônio, é pobre e nos odeia, enquanto nós amamos a sua impureza."
662	Abba Macário o Grande	"Eis o que eu sei: durante doze anos servi ao Senhor para que me concedesse esta graça de receber a todos com simplicidade; e vocês todos me aconselham a rejeitá-la?"
663	Abba Poemen (Pastor)	É pela guerra que a alma progride.
664	Abba Poemen (Pastor)	Se você quer encontrar descanso, diga: Quem sou eu? e não julgue ninguém.
665	Abba Poemen (Pastor)	"Na hora em que encobrirmos os pecados de nosso irmão, Deus cobrirá os nossos; e na hora em que trairmos as vergonhas de nosso irmão, da mesma forma Deus trairá as nossas."
666	Abba Poemen (Pastor)	Se um homem pecou e não o nega, mas diz eu pequei, não o repreenda, pois você quebrará o propósito de seu coração. Em vez disso, diga a ele: Não fique triste, meu irmão, mas vigie-se daqui em diante, e você despertará o coração dele para o arrependimento.
667	Abba Poemen (Pastor)	A marca do monge torna-se aparente nas tentações.
668	Um Ancião (Anônimo)	Um ancião foi questionado sobre a oração contínua e respondeu: É a petição enviada a Deus do próprio fundamento do coração. A verdadeira oração é quando você pode orar o tempo todo dentro de si mesmo.
669	Um Grande Ancião	Tu dás consentimento à tua imaginação. Deves aprender como resistir a tais pensamentos: não te inclines a eles em tua mente, mas prostra-te diante de Deus em oração para encontrar a paz contra a tentação.
670	Abba Efraim o Sírio	A palavra do próximo é como fogo para ti — pode purificar ou queimar. É preciso discernimento.
671	Abba Isidoro	O amor tem de ser preferido a tudo: ele une todas as coisas e todas as coisas une a Deus.
672	Abba Pafsio (Pafsios)	Quando vejo que um irmão comete um erro, considero que é culpa minha, pois não o construí suficientemente pelo exemplo.
673	Abba Silvano	"O ancião dizia ao discípulo: Faz o que queres, mas não abandones as horas da oração; pois quem abandona as horas, perde a própria vida."
674	Abba Longino	"Não há virtude maior que a não ter ambição de nenhuma coisa terrena; e não há vício maior do que amar as riquezas."
675	Abba Longino	Três obras corporais são necessárias para o monge: o jejum, a vigília e o trabalho das mãos.
676	Abba Longino	Se alguém faz pública sua ascese, já recebeu o seu prêmio.
677	Abba Lot (Padre)	"Não nos preocupemos tanto com o exercício das virtudes, mas com a guarda do coração; pois é dela que os exercícios brotam."
678	Abba João Ancião de Tebas	Acima de tudo, o monge necessita da humildade, pois esta é a primeira virtude que Nosso Senhor ensinou quando disse: Bem-aventurados os pobres de espírito.
679	Abba Cassiano (Colachões)	A perfeição do coração não consiste em macerar o corpo, mas em desprender-se de todo vício e amor ao próprio prazer.
680	Abba Cassiano (Colachões)	"O fim do monge é o reino de Deus; o objetivo proximal é a pureza de coração, sem a qual ninguém pode alcançar aquele fim."
681	Abba Cassiano (Colachões)	Toda ação, todo exercício, toda ascese devem ser julgados segundo esta única norma: serve à pureza do coração ou não?
682	Abba Cassiano (Colachões)	"Ao jovem que perguntou sobre o jejum, respondeu: O jejum é como um instrumento; tem valor quando usado com discrição. Usado fora da medida, é tão prejudicial quanto o excesso de comida."
683	Abba Cassiano (Colachões)	"A acídia é o mais pesado dos demônios, o mais opressivo dos monges; ataca ao redor da hora sexta e não dá trégua à alma tão logo os exercícios se tornem monótonos."
684	Abba Cassiano (Colachões)	"A alma não pode permanecer no mesmo estado espiritual. Ou progride ou regride; portanto o monge deve sempre aspirar mais alto."
685	Abba Cassiano (Colachões)	Quem não aprendeu a dominar sua língua, como pode aprender a dominar suas paixões? O silêncio é a escola de todas as virtudes.
686	Abba Or (Pai Or)	Conserva-te em humildade. Quando houver discussões entre os irmãos, fica em silêncio e reza. Agirias como Salomão, que era mais sábio que todos, mas permanecia em silêncio diante dos fortes.
687	Abba Nístero (Nesteros)	Perguntas-me o que é que devo fazer. Devo dizer-te que a primeira coisa é guardar tua mente em paz com todos. A segunda é não permanecer ocioso. A terceira é o pensamento constante de Deus.
688	Abba Poemen	Falei uma vez, não voltarei a falar segunda vez — disse ao ser corrigido pelo presbítero por ter tomado a palavra numa assembléia sem ser interrogado.
689	Abba Poemen	Ele é do alto e fala de coisas celestiais, enquanto eu sou de baixo e falo de coisas terrestres. Se me tivesse falado das paixões da alma, eu lhe teria respondido — ao estrangeiro que veio tratando só de coisas celestes.
690	Abba Poemen	Se o homem tem em si mesmo o temor de Deus, o inimigo não pode prejudicá-lo.
691	Abba Poemen	"Não habites em lugar onde você vê que alguns têm inveja de ti; do contrário, não progredirás."
692	Abba Poemen	O homem que conhece a si mesmo é maior que aquele que ressuscita um morto.
693	Abba Poemen	Aquele que vence suas próprias paixões é maior do que aquele que vence um exército.
694	Abba Poemen	Ser humilhado é melhor do que ser honrado, pois a humilhação produz mansidão e a honra produz arrogância.
695	Abba Poemen	"Se a tribulação te chega de fora, ela te prejudica por algum tempo; se a tribulação vem de dentro, ela te consome completamente."
696	Abba Poemen	Enquanto o pote está no fogo, não se afastam as moscas nem os mosquitos. Assim também enquanto o monge permanece em ações espirituais, o inimigo não pode lhe fazer nada.
697	Abba Poemen	"O espadeiro que conhece seu ofício pode transformar uma espada em foice; assim também pode transformar uma foice em espada. Seja discípulo do que serve ao momento."
698	Abba Poemen	A vida espiritual do monge é composta de três elementos essenciais: temor de Deus, humildade e abstinência.
699	Abba Macário de Alexandria	"Macário de Alexandria disse que, por cada coisa que cometemos mal durante o dia, durante a noite deviaíamos fazer penitência dupla; e por cada coisa boa que fazemos durante a noite, devemos dobrar o esforço durante o dia."
700	Abba Macário de Alexandria	"Uma vez por semana Macário de Alexandria comia apenas pão seco, sal e água, e isso era chamado a dieta de penitência; assim ele dominou seu corpo para que não dominasse sua alma."
701	Abba Macário de Alexandria	Se os pensamentos me atormentam, digo: Olha para o que você é. Isso me basta para envergônha-los, pois nada sou.
702	Abba Poemen	Quando a luta do corpo se torna forte contra você, arme-se com a compunção e a humildade, e o Senhor logo acorrerá em seu auxílio.
703	Abba Moisés (Padres de Scete)	A compunção é a chave que abre a porta de Deus.
704	Abba Moisés (Padres de Scete)	A guarda dos mandamentos é para o monge como o leite para a criança: sem ela, não pode crescer.
705	Abba Moisés (Padres de Scete)	"A oração sem silêncio é como semear em terra dura; as sementes caem mas não germinam."
